abandoned,abandoning
disgorged,disgorging
disgraced,disgracing
disguised,disguising
disgusted,disgusting
disheartened,disheartening
dished,dishing
dishonoured,dishonouring
disillusioned,disillusioning
disinfected,disinfecting
disinherited,disinheriting
disintegrated,disintegrating
disinterred,disinterring
disliked,disliking
dislocated,dislocating
dislodged,dislodging
dismantled,dismantling
dismayed,dismaying
dismembered,dismembering
dismissed,dismissing
dismounted,dismounting
disobeyed,disobeying
disorientated,disorientating
disoriented,disorienting
disowned,disowning
disparaged,disparaging
dispatched,dispatching
dispelled,dispelling
dispensed,dispensing
dispersed,dispersing
displaced,displacing
displayed,displaying
displeased,displeasing
disposed,disposing
dispossessed,dispossessing
disproved,disproving
disputed,disputing
disqualified,disqualifying
disregarded,disregarding
disrobed,disrobing
disrupted,disrupting
dissected,dissecting
dissembled,dissembling
disseminated,disseminating
dissented,dissenting
dissipated,dissipating
dissociated,dissociating
dissolved,dissolving
dissuaded,dissuading
distanced,distancing
distended,distending
distilled,distilling
distinguished,distinguishing
distorted,distorting
distracted,distracting
distressed,distressing
distributed,distributing
distrusted,distrusting
disturbed,disturbing
ditched,ditching
dithered,dithering
dive-bombed,dive-bombing
dived,diving
diverged,diverging
diversified,diversifying
diverted,diverting
divested,divesting
divided,dividing
divined,divining
divorced,divorcing
divulged,divulging
dizzied,dizzying
docked,docking
doctored,doctoring
documented,documenting
doddered,doddering
dodged,dodging
doffed,doffing
doled,doling
domesticated,domesticating
dominated,dominating
domineered,domineering
donated,donating
donned,donning
doodled,doodling
doomed,dooming
doped,doping
doted,doting
dotted,dotting
double-checked,double-checking
double-crossed,double-crossing
double-parked,double-parking
doubled,doubling
doubted,doubting
doused,dousing
dovetailed,dovetailing
downed,downgrading
downgraded,downing
downloaded,downloading
dozed,dozing
drafted,drafting
dragged,dragging
dragooned,dragooning
drained,draining
dramatized,dramatizing
draped,draping
drawled,drawling
drawn,drawing
dreaded,dreading
dreamed,dreaming
dredged,dredging
drenched,drenching
dressed,dressing
dribbled,dribbling
dried,drying
drifted,drifting
drilled,drilling
drip-dried,drip-drying
dripped,dripping
