reduced,reducing
benefited,benefiting
berthed,berthing
bifurcated,bifurcating
blabbed,blabbing
blackened,blackening
blanched,blanching
blasphemeed,blaspheming
bleached,bleaching
blended,blending
blinked,blinking
blistered,blistering
bluffed,bluffing
blurred,blurring
boggled,boggling
bonded,bonding
boned,boning
booed,booing
bordered,bordering
borrowed,borrowing
breastfed,breastfeeding
bred,breeding
brewed,brewing
bridled,bridling
broadcasted,broadcasting
broadened,broadening
broiled,broiling
browned,browning
budged,budging
buffeted,buffeting
buggered,buggering
bullied,bullying
burgled,burgling
burnished,burnishing
burrowed,burrowing
cabled,cabling
calcified,calcifying
canceled,canceling
cancelled,cancelling
canvassed,canvassing
capitalized,capitalizing
capsized,capsizing
carped,carping
celebrated,celebrating
centered,centering
centred,centring
chanted,chanting
charred,charring
circled,circling
circulated,circulating
clanged,clanging
clapped,clapping
clasped,clasping
cleaved,cleaving
clinched,clinching
clinked,clinking
clotted,clotting
cloyed,cloying
clutched,clutching
co-starred,co-starring
coached,coaching
coagulated,coagulating
coaxed,coaxing
cogitated,cogitating
collapsed,collapsing
combined,combining
commenced,commencing
commingled,commingling
communicated,communicating
commuted,commuting
compared,comparing
compensated,compensating
composed,composing
computed,computing
concentrated,concentrating
condensed,condensing
conducted,conducting
confederated,confederating
conferred,conferring
confided,confiding
conjoined,conjoining
conjugated,conjugating
consolidated,consolidating
consulted,consulting
contested,contesting
contrasted,contrasting
contributed,contributing
convened,convening
converted,converting
correlated,correlating
corroded,corroding
corrupted,corrupting
couched,couching
counterattacked,counterattacking
crashed,crashing
crash-landed,crash-landing
craved,craving
creased,creasing
cribbed,cribbing
crinkled,crinkling
crisscrossed,crisscrossing
crocheted,crocheting
crooned,crooning
crosschecked,crosschecking
crystallized,crystallizing
cuddled,cuddling
curdled,curdling
cursed,cursing
curved,curving
dabbed,dabbing
damped,damping
dangled,dangling
darkened,darkening
darned,darning
dated,dating
debarked,debarking
debated,debating
decelerated,decelerating
decomposed,decomposing
decreased,decreasing
deepened,deepening
deflected,deflecting
delayed,delaying
delighted,delighting
democratized,democratizing
derailed,derailing
derived,deriving
derogated,derogating
descended,descending
detonated,detonating
developed,developing
dictated,dictating
differentiated,differentiating
diffused,diffusing
digested,digesting
dilated,dilating
dimmed,dimming
diminished,diminishing
dinned,dinning
dipped,dipping
disarmed,disarming
disbanded,disbanding
discharged,discharging
discontinued,discontinuing
disengaged,disengaging
disentangled,disentangling
dismounted,dismounting
dispensed,dispensing
dispersed,dispersing
dissipated,dissipating
dissolved,dissolving
distended,distending
distinguished,distinguishing
dive-bombed,dive-bombing
diversified,diversifying
divined,divining
docked,docking
dodged,dodging
dreaded,dreading
dribbled,dribbling
drilled,drilling
dripped,dripping
drooped,drooping
dulled,dulling
echoed,echoing
ejaculated,ejaculating
ejected,ejecting
elaborated,elaborating
elongated,elongating
embroidered,embroidering
ended,ending
endured,enduring
engaged,engaging
enlisted,enlisting
enroled,enroling
enrolled,enrolling
entered,entering
entertained,entertaining
enunciated,enunciating
eroded,eroding
escalated,escalating
escaped,escaping
etched,etching
evacuated,evacuating
evolved,evolving
exaggerated,exaggerating
exercised,exercising
exhaled,exhaling
expanded,expanding
exploded,exploding
explored,exploring
expounded,expounding
extemporized,extemporizing
extended,extending
extrapolated,extrapolating
fastened,fastening
feasted,feasting
fermented,fermenting
ferried,ferrying
fiddled,fiddling
fielded,fielding
filmed,filming
fitted,fitting
fixated,fixating
flagged,flagging
flapped,flapping
flashed,flashing
fled,fleeing
focused,focusing
footed,footing
forborne,forbearing
foreclosed,foreclosing
forgiven,forgiving
formed,forming
foundered,foundering
fractured,fracturing
frayed,fraying
fronted,fronting
frosted,frosting
fuelled,fuelling
fumbled,fumbling
furled,furling
fused,fusing
gagged,gagging
gained,gaining
gambled,gambling
gargled,gargling
gasified,gasifying
gasped,gasping
generalized,generalizing
germinated,germinating
glanced,glancing
glossed,glossing
gnashed,gnashing
gnawed,gnawing
governed,governing
grasped,grasping
grated,grating
grieved,grieving
ground,grinding
groaned,groaning
grounded,grounding
groped,groping
grouped,grouping
growled,growling
grumbled,grumbling
grunted,grunting
hailed,hailing
hardened,hardening
harmonized,harmonizing
hatched,hatching
heaved,heaving
heckled,heckling
hedged,hedging
heightened,heightening
hemmed,hemming
hoarded,hoarding
hoed,hoeing
honked,honking
hooted,hooting
howled,howling
hugged,hugging
hummed,humming
hurt,hurting
hushed,hushing
hustled,hustling
iced,icing
idled,idling
ignited,igniting
improved,improving
improvised,improvising
inclined,inclining
incorporated,incorporating
increased,increasing
incubated,incubating
indented,indenting
indulged,indulging
industrialized,industrializing
infringed,infringing
inhaled,inhaling
intensified,intensifying
interbred,interbreeding
interconnected,interconnecting
interlocked,interlocking
intermixed,intermixing
interned,interning
interpreted,interpreting
interrelated,interrelating
interrupted,interrupting
intersected,intersecting
intertwined,intertwining
interviewed,interviewing
intrigued,intriguing
invested,investigating
investigated,investing
ionized,ionizing
jabbed,jabbing
jangled,jangling
jeered,jeering
jigged,jigging
jiggled,jiggling
jingled,jingling
jolted,jolting
jostled,jostling
judged,judging
juggled,juggling
kidded,kidding
kindled,kindling
knitted,knitting
laboured,labouring
lamented,lamenting
landed,landing
latched,latching
launched,launching
lectured,lecturing
lengthened,lengthening
lessened,lessening
leveled,leveling
levelled,levelling
levitated,levitating
lighted,lighting
liquefied,liquefying
liquidated,liquidating
litigated,litigating
littered,littering
lobbied,lobbying
located,locating
lodged,lodging
looped,looping
lunched,lunching
maneuvered,maneuvering
manoeuvred,manoeuvring
marinated,marinating
massed,massing
